ASV_11842
ASV_1659
ASV_1275
ASV_5976
ASV_9684
ASV_780
ASV_1077
ASV_1826
ASV_3680
ASV_808
ASV_11210
ASV_11846
ASV_4699
ASV_6071
ASV_357
ASV_3476
ASV_4482
ASV_3603
ASV_3979
ASV_5572
ASV_690
ASV_2334
ASV_3377
ASV_4360
ASV_5855
ASV_6662
ASV_1144
ASV_2200
ASV_2600
ASV_2964
ASV_3266
ASV_3834
ASV_4166
ASV_5763
ASV_9432
ASV_2660
ASV_2272
ASV_4583
ASV_6664
ASV_1403
ASV_1894
ASV_2308
ASV_3267
ASV_593
ASV_6274
ASV_6506
ASV_886
ASV_1901
ASV_1977
ASV_3336
ASV_2161
ASV_2916
ASV_3334
ASV_3540
ASV_3724
ASV_6086
ASV_7768
ASV_9196
ASV_10936
ASV_9493
ASV_11612
ASV_12924
ASV_3425
ASV_10020
ASV_11778
ASV_3734
ASV_4939
ASV_1514
ASV_11346
ASV_4824
ASV_6545
ASV_12486
ASV_2906
ASV_7187
ASV_3536
ASV_2270
ASV_2335
ASV_400
ASV_407
ASV_4267
ASV_4635
ASV_6170
ASV_7216
ASV_1807
ASV_4633
ASV_3721
ASV_5391
ASV_5381
ASV_7587
ASV_1291
ASV_1729
ASV_2254
ASV_2375
ASV_2526
ASV_4275
ASV_4804
ASV_5076
ASV_447
ASV_465
ASV_484
ASV_63
ASV_96
ASV_1740
ASV_4076
ASV_6472
ASV_6781
ASV_9868
ASV_3806
ASV_843
ASV_9213
ASV_351
ASV_3702
ASV_463
ASV_6593
ASV_678
ASV_8284
ASV_10716
ASV_2212
ASV_2727
ASV_10052
ASV_1021
ASV_1329
ASV_1524
ASV_3990
ASV_4208
ASV_5790
ASV_5887
ASV_7626
ASV_2278
ASV_10259
ASV_1561
ASV_3723
ASV_4765
ASV_6380
ASV_9400
ASV_6181
ASV_2418
ASV_1611
ASV_6384
ASV_8259
ASV_3832
ASV_4534
ASV_5573
ASV_2127
ASV_2580
ASV_2267
ASV_6067
ASV_2472
ASV_2577
ASV_8713
ASV_903
ASV_9401
ASV_9967
ASV_1472
ASV_724
ASV_2307
ASV_4531
ASV_5575
ASV_4163
ASV_1670
ASV_4638
ASV_1525
ASV_1521
ASV_2348
ASV_1057
ASV_5299
ASV_7023
ASV_3673
ASV_1092
ASV_1165
ASV_1315
ASV_1970
ASV_2005
ASV_2142
ASV_2240
ASV_2920
ASV_2927
ASV_3833
ASV_3868
ASV_4071
ASV_4116
ASV_4593
ASV_466
ASV_5220
ASV_6070
ASV_7473
ASV_7606
ASV_5412
ASV_5659
ASV_471
ASV_10128
ASV_1154
ASV_1424
ASV_2376
ASV_2717
ASV_2859
ASV_443
ASV_456
ASV_459
ASV_7757
ASV_8494
ASV_3198
ASV_3483
ASV_7196
ASV_5593
ASV_6657
ASV_7298
ASV_10394
ASV_3264
ASV_3940
ASV_4889
ASV_6783
ASV_7728
ASV_4224
ASV_10300
ASV_3810
ASV_9446
ASV_6937
ASV_8823
ASV_3210
ASV_7610
ASV_1449
ASV_151
ASV_267
ASV_284
ASV_6688
ASV_2100
ASV_3486
ASV_6286
ASV_2301
ASV_318
ASV_4541
ASV_7933
ASV_9695
ASV_6787
ASV_6265
ASV_6634
ASV_4036
ASV_6401
ASV_6929
ASV_1834
ASV_3363
ASV_8312
ASV_9719
ASV_10275
ASV_2733
ASV_4763
ASV_7734
ASV_9661
ASV_10902
ASV_1299
ASV_1443
ASV_1828
ASV_2028
ASV_2507
ASV_2748
ASV_2878
ASV_314
ASV_3180
ASV_3424
ASV_3454
ASV_3535
ASV_3642
ASV_3801
ASV_3910
ASV_3945
ASV_3991
ASV_4081
ASV_4179
ASV_4376
ASV_5100
ASV_5174
ASV_5479
ASV_5652
ASV_5978
ASV_5982
ASV_6282
ASV_7452
ASV_7924
ASV_9451
ASV_9978
ASV_9153
ASV_6905
ASV_7902
ASV_5972
ASV_11233
ASV_1273
ASV_4646
ASV_1692
ASV_3068
ASV_1111
ASV_8939
ASV_7138
ASV_2347
ASV_10093
ASV_11071
ASV_1131
ASV_11706
ASV_1176
ASV_11765
ASV_12199
ASV_13013
ASV_1480
ASV_162
ASV_241
ASV_276
ASV_3098
ASV_3404
ASV_3650
ASV_4009
ASV_470
ASV_4972
ASV_4992
ASV_4995
ASV_5284
ASV_556
ASV_591
ASV_6078
ASV_6791
ASV_7388
ASV_787
ASV_8410
ASV_856
ASV_872
ASV_8913
ASV_9245
ASV_983
ASV_9843
ASV_1129
ASV_340
ASV_8197
ASV_411
ASV_6106
ASV_160
ASV_9481
ASV_945
ASV_4681
ASV_12112
ASV_243
ASV_12917
ASV_1294
ASV_10335
ASV_11454
ASV_1747
ASV_2509
ASV_3691
ASV_4743
ASV_5050
ASV_5326
ASV_6235
ASV_631
ASV_6474
ASV_668
ASV_7414
ASV_7739
ASV_7868
ASV_8090
ASV_853
ASV_8636
ASV_2202
ASV_4481
ASV_10416
ASV_6631
ASV_6923
ASV_6767
ASV_5099
ASV_7046
ASV_10571
ASV_9672
ASV_11578
ASV_3378
ASV_3297
ASV_3303
ASV_4888
ASV_5088
ASV_5173
ASV_8739
ASV_3362
ASV_4592
ASV_5029
ASV_5868
ASV_5869
ASV_2524
ASV_2835
ASV_8722
