	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
ASV_13728	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_13975	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_14002	Bacteria	Bacteria_X	Acidobacteria	Blastocatellia_(Subgroup_4)	1124	1124_X	1124_XX	1124_XX_sp.
ASV_728	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_860	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_2010	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_2224	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_2469	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_5552	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_5768	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_7179	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_8892	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_9975	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_10214	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_11872	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_14248	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_14828	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_X	A0839_X_sp.
ASV_1405	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_3125	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_3146	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_3700	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_5363	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_5379	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_5472	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_6237	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_6248	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_6468	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_6475	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_6591	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_6873	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_7013	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_7123	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_7420	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_7684	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_7697	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_7882	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_7893	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_8474	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_8673	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_8866	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_8868	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_9121	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_9123	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_9626	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_9860	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
ASV_9937	Bacteria	Bacteria_X	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_X	A4b_X_sp.
